Product_detail_id,Product_Name,Product_Price,Product_Image_URL,Product_Category,rating
3062,"Del Monte FoodCraft Chifferi Pasta, 100% Durum Wheat Semolina, 1kg",129,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71kWT5+3T3S._AC_UL320_.jpg,fresh pasta,4.5
3063,"Del Monte FoodCraft Spirali Pasta, 100% Durum Wheat Semolina, 1kg",129,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71L2IzCwA3S._AC_UL320_.jpg,fresh pasta,3.3
3064,"Del Monte FoodCraft Penne Pasta, 100% Durum Wheat Semolina, 1kg",129,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61lF1cVyt2S._AC_UL320_.jpg,fresh pasta,4.5
3065,"DiSano Pastalicious 100% Durum Wheat Penne Pasta, 1kg",99,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71P9hEegm6L._AC_UL320_.jpg,fresh pasta,3.6
3066,"DiSano Pastalicious 100% Durum Wheat Macroni Pasta, Elbow, 1kg",99,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71T4FyU8inL._AC_UL320_.jpg,fresh pasta,3.7
3067,N/A,N/A,,fresh pasta,4.8
3068,"MAGGI Pazzta Cheese Macaroni Pasta, Delicious Italian Style Instant Pasta, Made with 100% Suji & Quality Ingredients, 75g",26,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81uILav8xSL._AC_UL320_.jpg,fresh pasta,4.3
3069,"Del Monte FoodCraft Penne Pasta, 100% Durum Wheat Semolina, 1kg",129,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61lF1cVyt2S._AC_UL320_.jpg,fresh pasta,3.8
3070,"DiSano Pastalicious 100% Durum Wheat Macroni Pasta, Elbow, 1kg",99,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71T4FyU8inL._AC_UL320_.jpg,fresh pasta,5.0
3071,"DiSano Pastalicious 100% Durum Wheat Penne Pasta, 1kg",99,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71P9hEegm6L._AC_UL320_.jpg,fresh pasta,4.2
3072,"MAGGI Pazzta Masala Penne Pasta, Delicious Italian Style Instant Pasta, Made with 100% Suji & Quality Ingredients, 69.5g",32,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81BaoGJaj2L._AC_UL320_.jpg,fresh pasta,3.3
3073,"DiSano Pastalicious 100% Durum Wheat Fusilli Pasta, 1kg",99,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71qFWpcwJNL._AC_UL320_.jpg,fresh pasta,4.9
3074,N/A,N/A,,fresh pasta,4.2
3075,"Sunfeast YiPPee! Tricolor Pasta |Soft and Tasty Suji, Rawa Pasta|Masala |65 grams Pack",17,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81T7leUDxFL._AC_UL320_.jpg,fresh pasta,4.6
3076,"Borges Spaghetti Durum Wheat Pasta | 100% Durum Wheat Semolina, High in Protein & Fiber, Made with Natural Ingredients, Bronze Cut, Cooked in 10-12 minutes, 500 Grams",180,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61CLGMFrfCL._AC_UL320_.jpg,fresh pasta,3.6
3077,"Amazon Brand - Solimo Durum Wheat Fusilli Pasta, 500g",95,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71VtTm6eR8L._AC_UL320_.jpg,fresh pasta,3.2
3078,Borges Cholesterol Free Whole Wheat Penne Pasta (500 grams),200,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81-D6Ww1XcL._AC_UL320_.jpg,fresh pasta,3.6
3079,"Keya Elbow Pasta 1kg, 100% Durum Wheat Pasta | Vegetarian | No MSG | Low in Calories | No Trans Fats | Healthy | Cooked in 10 Minutes",99,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61lp7jqS3SL._AC_UL320_.jpg,fresh pasta,4.0
3080,"Amazon Brand - Solimo Durum Wheat Spaghetti Pasta Pouch, 500 grams",85,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71nvZ+WXlzL._AC_UL320_.jpg,fresh pasta,4.7
3081,"Del Monte Foodcraft Spirali Pasta, 100% Durum Wheat Semolina, 500 grams",79,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71L2IzCwA3S._AC_UL320_.jpg,fresh pasta,4.2
3082,"Del Monte Farfalle Pasta (Imported From Italy), 100% Durum Wheat Semolina, 500 grams",147,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51Jse9Q0IfL._AC_UL320_.jpg,fresh pasta,4.7
3083,"Weikfield High Protein Penne Pasta, 400g / 500g (Weight may vary)",150,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81tiBGqz8YL._AC_UL320_.jpg,fresh pasta,4.8
3084,"Mr. Yumty Gluten Free Multigrain Spaghetti/Noodles | No Wheat, No Maida | A rich source of Proteins and Fiber, 150g (Pack of 10)","1,265",https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81b69V9QHWL._AC_UL320_.jpg,fresh pasta,4.3
3085,"Del Monte Spirali Pasta Whole Wheat (Imported from Italy), 500 grams",121,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61ukp6CwOlL._AC_UL320_.jpg,fresh pasta,5.0
3086,"Weikfield Pasta, Elbow, 400g",140,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/714PxW1o+IL._AC_UL320_.jpg,fresh pasta,3.6
3087,"Del Monte Penne Pasta (Imported From Italy), 100% Durum Wheat Semolina,500 grams",199,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61Sxu4XxfYL._AC_UL320_.jpg,fresh pasta,4.8
3088,"Del Monte Spirali Pasta (Imported from Italy), 100% Durum Wheat Semolina, 500 grams",199,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51GXfug3wDL._AC_UL320_.jpg,fresh pasta,4.6
3089,"Del Monte Chifferi Pasta (Imported From Italy), 100% Durum Wheat Semolina, 500Gram",199,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61ZDpSm1jLL._AC_UL320_.jpg,fresh pasta,3.2
3090,"Del Monte Farfalle Pasta (Imported From Italy), 100% Durum Wheat Semolina, 500 grams",147,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51Jse9Q0IfL._AC_UL320_.jpg,fresh pasta,4.3
3091,Slurrp Farm No Maida Macaroni Pasta | Gluten Free & Multigrain | Healthy Pasta made with Brown Rice and Corn | 400g,299,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/615o8xujGEL._AC_UL320_.jpg,fresh pasta,4.5
3092,WickedGud 2X Fiber Penne Pasta | No Maida | Durum Wheat Semolina | Brown Rice | Red Lentils | Healthy Diet Pasta - 400gm,189,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81NdGlKnbkL._AC_UL320_.jpg,fresh pasta,4.8
3093,Colavita Spaghetti Pasta 500g (Durum Wheat Pasta),295,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71r1U6Sxw+L._AC_UL320_.jpg,fresh pasta,4.0
